date,bugout_index,inflation_rate,incident_rate,unemployment_rate,debt_to_gdp_ratio,homelessness_rate,trust_in_government
2025-03-16,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-17,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-18,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-19,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-20,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-21,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-22,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-23,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-24,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-25,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-26,57.6174788557026,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.86755},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-27,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-28,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-29,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-30,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-03-31,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-01,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-02,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-03,57.618919689035934,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.1},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-04,57.552253022369264,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.2},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-05,57.552253022369264,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.2},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-06,57.552253022369264,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.2},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-07,57.552253022369264,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.2},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
2025-04-08,57.552253022369264,{'inflation_rate': 2.8142703731568783},{'incident_rate': 2723.0},{'unemployment_rate': 4.2},{'debt_to_gdp_ratio': 121.85026},{'homelessness_rate': 0.23},{'trust_in_government': 41.0}
